C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_351.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_351.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_351.jpg,0,0,0,7.819399E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_417.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_417.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_417.jpg,0,0,0,9.414978E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_485.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_485.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_485.jpg,0,0,0,1.313946E-05
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_552.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_552.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_552.jpg,0,0,0,6.40941E-07
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_620.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_620.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_620.jpg,0,0,0,6.826636E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_687.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_687.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_687.jpg,0,0,0,1.39807E-05
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_753.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_753.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_753.jpg,0,0,0,6.719923E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_820.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_820.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_820.jpg,0,0,0,1.446994E-05
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_889.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_889.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_889.jpg,0,0,0,5.825294E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_07_957.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_07_957.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_07_957.jpg,0,0,0,1.512968E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_08_026.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_08_026.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_08_026.jpg,0,0,0,6.023678E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_08_094.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_08_094.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_08_094.jpg,0,0,0,8.417444E-06
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_08_161.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_08_161.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_08_161.jpg,0,0,0,1.014624E-05
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_08_228.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_08_228.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_08_228.jpg,0,0,0,1.20087E-05
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_08_295.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_08_295.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_08_295.jpg,0,0,0,1.353844E-05
C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\center_2017_02_13_21_49_08_362.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\left_2017_02_13_21_49_08_362.jpg,C:\Users\aselius\dev\CarND-Behavioral-Cloning-P3\IMG\right_2017_02_13_21_49_08_362.jpg,0,0.006729638,0,0.002884743
